📋 Planificación de Endpoints — Core Bancario | BanQuito;;;;;;;;
Módulo;Método;Endpoint;Descripción;Consumidor;Requisito;Campos Clave;Justificación;Estado
Clientes;POST;/api/v1/clientes;Creación integral de clientes. Diferencia entre Natural (Cédula) y Jurídico (RUC con representante legal).;Back-Office / Registro;RF-01;identificacion, tipoIdentificacion, nombres, razonSocial, representanteLegalId;Punto de entrada obligatorio para incorporar nuevos clientes al banco. Sin este endpoint no es posible vincular cuentas ni iniciar ninguna operación.;Existente
Clientes;GET;/api/v1/clientes/{identificacion};Consulta de datos demográficos y estado del cliente para validación previa a operaciones.;Back-Office / Switch;RF-01;identificacion, estado, tipoCliente;El Switch y el Back-Office necesitan verificar la existencia y el estado del cliente antes de aceptar pagos o abrir productos. Evita operar sobre clientes inactivos o bloqueados.;Existente
Cuentas;POST;/api/v1/cuentas;Apertura de cuenta vinculada a sucursal. Genera número de cuenta único basado en código de sucursal.;Back-Office / Agencia;RF-02;clienteId, sucursalId, subtipoCuentaId;Permite la apertura de cuentas de ahorro o corriente vinculadas a un cliente ya existente. Es el punto de inicio del ciclo de vida de una cuenta.;Existente
Cuentas;PATCH;/api/v1/cuentas/{numero}/estado;Actualización de estado operativo (ACTIVA, INACTIVA, BLOQUEADA, SUSPENDIDA). Registra historial de cambio.;Back-Office / Auditoría;RF-03;estadoNuevo, motivo, usuarioId;Gestión del ciclo de vida de la cuenta. Necesario para operaciones de bloqueo por orden judicial, suspensión por inactividad o reactivación. Auditable.;Existente
Cuentas;GET;/api/v1/cuentas/{numero}/saldos;Consulta en tiempo real de Saldo Contable (total) y Saldo Disponible (total menos bloqueos).;Switch / Canal Digital;RF-05;saldoContable, saldoDisponible;El Switch de Pagos debe consultar el saldo disponible antes de ejecutar un débito global. También lo usan canales digitales para mostrar saldos al cliente.;Existente
Transacciones;POST;/api/v1/transacciones;Procesamiento atómico de movimientos. Implementa validación de UUID para evitar duplicidad (Idempotencia).;Switch / Agencia / ATM;RF-04, RF-06;uuidTransaccion, monto, tipoMovimiento (DEBITO/CREDITO), cuentaId;Núcleo del motor transaccional. Todo débito o crédito en el core pasa por este endpoint. El UUID garantiza que reintentos por fallos de red no generen doble débito.;Existente
Consultas;GET;/api/v1/cuentas/{numero}/movimientos;Consulta paginada del historial de transacciones, detallando subtipos (Nómina, Proveedores, etc.).;Banca Web / Cliente;RF-07;fechaDesde, fechaHasta, subtipoTransaccion, pagina, tamano;Permite al cliente revisar sus movimientos desde la banca en línea. La paginación es obligatoria para cuentas con alto volumen de transacciones.;Existente
Configuración;GET;/api/v1/catalogos/sucursales;Listado de sucursales activas para asignación en nuevos productos.;Banca Web / UI;Soporte RF-02;codigoSucursal, nombre, ciudad;El formulario de apertura de cuentas necesita mostrar la lista de sucursales disponibles. Sin este catálogo, el campo sería de texto libre y propenso a errores.;Existente
Clientes;PUT;/api/v1/clientes/{identificacion};Actualización de datos demográficos del cliente: dirección, teléfonos, correo electrónico y, para jurídicos, cambio de representante legal.;Back-Office / Agencia;RF-01;direccion, telefono, email, representanteLegalId;Los datos de un cliente cambian con el tiempo (domicilio, contacto, representante legal). Sin este endpoint el core no puede mantener la información actualizada, lo que afecta notificaciones, estados de cuenta y cumplimiento normativo (KYC).;Nuevo
Clientes;GET;/api/v1/clientes/{identificacion}/cuentas;Listado de todas las cuentas (activas, inactivas, bloqueadas) asociadas a un cliente.;Back-Office / Canal Digital;RF-02;numeroCuenta, subtipo, estado, saldoDisponible;El Back-Office y la banca en línea necesitan mostrar el portafolio completo de cuentas de un cliente en una sola llamada, sin tener que consultar cada cuenta individualmente.;Nuevo
